name,year,reclat,reclong,mass
Elephant Moraine 90184,1990,-76.27363,156.48837,25.0
Elephant Moraine 90185,1990,-76.27695,156.49709,21.9
Elephant Moraine 90186,1990,-76.28071,156.48123,19.5
Elephant Moraine 90187,1990,-76.27983,156.48267,45.9
Elephant Moraine 90188,1990,-76.28404,156.4865,49.6
Elephant Moraine 90189,1990,-76.28077,156.4968,7.8
Elephant Moraine 90190,1990,-76.26593,156.52249,5.4
Elephant Moraine 90192,1990,-76.27775,156.51207,24.7
Elephant Moraine 90193,1990,-76.28297,156.50308,26.7
Elephant Moraine 90194,1990,-76.28402,156.47769,7.2
Elephant Moraine 90195,1990,-76.28749,156.4779,7.7
Elephant Moraine 90196,1990,-76.28126,156.48358,62.3
Elephant Moraine 90197,1990,-76.28223,156.4925,24.4
Elephant Moraine 90198,1990,-76.2861,156.47762,24.3
Elephant Moraine 90199,1990,-76.27913,156.50143,27.9
Elephant Moraine 90200,1990,-76.2854,156.4859,6.7
Elephant Moraine 90201,1990,-76.2735,156.50787,10.8
Elephant Moraine 90202,1990,-76.26882,156.50404,23.8
Elephant Moraine 90203,1990,-76.28655,156.48756,51.5
Elephant Moraine 90204,1990,-76.27493,156.50063,143.4
Elephant Moraine 90205,1990,-76.28209,156.49089,46.0
Elephant Moraine 90206,1990,-76.28591,156.49551,25.6
Elephant Moraine 90207,1990,-76.28203,156.50975,114.0
Elephant Moraine 90208,1990,-76.28408,156.48126,31.4
Elephant Moraine 90209,1990,-76.28448,156.47432,36.4
Elephant Moraine 90210,1990,-76.28583,156.4869,20.5
Elephant Moraine 90211,1990,-76.27784,156.48975,23.1
Elephant Moraine 90212,1990,-76.26861,156.49583,11.5
Elephant Moraine 90213,1990,-76.28324,156.51228,60.5
Elephant Moraine 90214,1990,-76.28592,156.48952,38.5
Elephant Moraine 90215,1990,-76.2786,156.52637,25.0
Elephant Moraine 90216,1990,-76.2719,156.502,28.9
Elephant Moraine 90217,1990,-76.27133,156.5237,23.2
Elephant Moraine 90218,1990,-76.28316,156.47162,15.6
Elephant Moraine 90219,1990,-76.27327,156.49641,8.6
Elephant Moraine 90220,1990,-76.2806,156.52197,16.8
Elephant Moraine 90221,1990,-76.28479,156.50302,67.3
Elephant Moraine 90222,1990,-76.2884,156.475,28.6
Elephant Moraine 90223,1990,-76.27901,156.49837,21.0
Elephant Moraine 90224,1990,-76.27591,156.49937,8.7
Elephant Moraine 90225,1990,-76.26813,156.49545,2.2
Elephant Moraine 90226,1990,-76.27407,156.50043,22.4
Elephant Moraine 90227,1990,-76.28392,156.47398,5.8
Elephant Moraine 90228,1990,-76.28368,156.4801,6.0
Elephant Moraine 90229,1990,-76.28055,156.43732,245.5
Elephant Moraine 90230,1990,-76.26583,156.40312,105.3
Elephant Moraine 90231,1990,-76.29367,156.4419,33.9
Elephant Moraine 90232,1990,-76.28795,156.46841,16.9
Elephant Moraine 90233,1990,-76.28817,156.47906,6.6
Elephant Moraine 90234,1990,-76.26577,156.40993,8.5
Elephant Moraine 90235,1990,-76.27573,156.40526,36.2
Elephant Moraine 90236,1990,-76.26761,156.53378,1.6
Elephant Moraine 90237,1990,-76.26492,156.54172,157.2
Elephant Moraine 90238,1990,-76.26667,156.53813,150.1
Elephant Moraine 90239,1990,-76.27318,156.36633,78.8
Elephant Moraine 90240,1990,-76.26634,156.4035,11.0
Elephant Moraine 90241,1990,-76.28682,156.45074,9.1
Elephant Moraine 90242,1990,-76.27482,156.49048,15.3
Elephant Moraine 90243,1990,-76.26641,156.40376,21.7
Elephant Moraine 90244,1990,-76.27708,156.50362,44.8
Elephant Moraine 90245,1990,-76.2876,156.4681,19.0
Elephant Moraine 90246,1990,-76.2679,156.54517,362.9
Elephant Moraine 90247,1990,-76.29541,156.46239,37.1
Elephant Moraine 90248,1990,-76.29429,156.45914,0.4
Elephant Moraine 90249,1990,-76.2821,156.44946,8.3
Elephant Moraine 90250,1990,-76.266,156.40329,13.5
Elephant Moraine 90251,1990,-76.26653,156.40277,45.4
Elephant Moraine 90252,1990,-76.28629,156.44165,12.2
Elephant Moraine 90253,1990,-76.26444,156.55681,6.5
Elephant Moraine 90254,1990,-76.27802,156.52986,12.8
Elephant Moraine 90255,1990,-76.27277,156.53181,8.3
Elephant Moraine 90256,1990,-76.28208,156.4495,3.2
Elephant Moraine 90257,1990,-76.2762,156.35939,11.0
Elephant Moraine 90258,1990,-76.28716,156.44688,10.5
Elephant Moraine 90259,1990,-76.27308,156.48512,22.9
Elephant Moraine 90260,1990,-76.28915,156.462,7.3
Elephant Moraine 90261,1990,-76.27359,156.48415,6.6
Elephant Moraine 90262,1990,-76.28752,156.44737,9.2
Elephant Moraine 90263,1990,-76.28899,156.45699,4.8
Elephant Moraine 90264,1990,-76.27311,156.48927,2.8
Elephant Moraine 90265,1990,-76.27404,156.48611,3.0
Elephant Moraine 90266,1990,-76.27918,156.47755,101.7
Elephant Moraine 90267,1990,-76.27837,156.47769,88.5
Elephant Moraine 90268,1990,-76.2831,156.4269,7.2
Elephant Moraine 90269,1990,-76.26849,156.45514,9.2
Elephant Moraine 90270,1990,-76.28685,156.47609,32.9
Elephant Moraine 90271,1990,-76.28109,156.43579,17.8
Elephant Moraine 90272,1990,-76.27056,156.45325,28.1
Elephant Moraine 90273,1990,-76.28131,156.43211,8.6
Elephant Moraine 90274,1990,-76.28062,156.47482,55.5
Elephant Moraine 90275,1990,-76.28799,156.47813,19.5
Elephant Moraine 90276,1990,-76.28354,156.43423,15.3
Elephant Moraine 90277,1990,-76.2798,156.47717,13.5
Elephant Moraine 90278,1990,-76.28946,156.417,5.6
Elephant Moraine 90279,1990,-76.27274,156.45152,17.4
Elephant Moraine 90280,1990,-76.26737,156.45676,11.1
Elephant Moraine 90281,1990,-76.28125,156.47302,52.6
Elephant Moraine 90282,1990,-76.27985,156.47636,15.3
Elephant Moraine 90283,1990,-76.28,156.47331,81.5
Elephant Moraine 90284,1990,-76.27851,156.46243,51.6
Elephant Moraine 90285,1990,-76.28006,156.47038,77.4
Elephant Moraine 90286,1990,-76.28024,156.43924,23.8
Elephant Moraine 90287,1990,-76.28054,156.46843,13.8
Elephant Moraine 90288,1990,-76.27072,156.45158,5.7
Elephant Moraine 90289,1990,-76.28815,156.4645,33.1
